,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
68,0,1,2,3,7,0,2,4135,1,68,0,0,0,151,19.0,2003.0,27,0,3,6,26,34108
69,0,1,2,1,6,1,3,3880,0,23,0,1,1,112,35.0,,9,1,3,3,32,11134
70,0,1,2,1,2,1,2,4821,1,68,0,0,1,196,44.0,,17,1,4,3,32,22121
71,0,1,1,1,3,5,2,4197,0,29,0,0,1,90,38.0,,16,1,1,4,22,21076
72,0,0,3,5,6,0,2,3820,1,50,0,0,1,58,29.0,2014.0,14,1,3,1,23,18149
73,1,0,1,5,2,3,3,3973,0,36,0,0,1,140,22.0,,22,0,4,5,6,27151
74,0,1,1,2,2,0,2,4244,0,38,0,0,1,255,29.0,,13,1,3,3,19,17143
75,0,0,1,4,6,0,3,2802,0,40,0,0,1,256,28.0,2010.0,16,1,0,6,24,21130
76,0,0,1,5,0,1,1,8913,1,55,0,0,1,95,38.0,,14,0,4,6,29,18118
77,1,1,1,1,3,0,2,5309,0,16,0,0,1,84,37.0,,26,0,2,2,12,30115
78,0,2,3,5,0,0,4,5957,0,33,0,0,0,83,22.0,,8,0,4,1,15,10060
79,0,1,3,3,8,2,4,3919,1,49,0,0,0,173,18.0,,6,1,1,5,26,8102
80,0,0,3,5,5,0,4,7117,0,23,0,0,0,212,25.0,2008.0,18,0,2,3,23,20090
81,0,2,3,5,2,1,2,4339,1,63,0,0,1,158,11.0,,14,0,3,5,15,17140
82,0,0,1,4,4,2,4,4407,1,19,0,0,1,103,21.0,,18,0,0,3,24,22100
83,1,0,1,5,1,0,4,4760,0,48,0,0,1,55,34.0,,26,0,0,4,28,35130
84,0,0,1,4,7,0,2,5526,0,27,1,1,1,257,32.0,2013.0,13,0,4,6,17,17097
85,1,1,2,1,8,0,2,5245,1,18,0,1,0,70,31.0,2011.0,18,1,3,1,32,24113
86,0,2,0,0,4,0,4,4564,0,56,0,1,1,160,37.0,1996.0,28,1,1,5,31,39115
87,0,0,2,4,7,0,2,6633,0,27,0,0,0,181,33.0,2012.0,14,1,2,3,14,18123
88,0,0,1,5,1,1,2,6917,0,35,0,0,1,220,28.0,,4,0,4,2,28,5103
89,0,1,1,3,7,0,3,4156,0,39,0,0,1,96,43.0,2019.0,6,0,2,5,26,7118
90,0,1,3,3,1,1,4,4980,0,36,1,0,1,108,26.0,,14,0,4,6,26,18117
91,0,0,1,4,8,1,3,4821,0,59,0,0,1,271,28.0,2011.0,23,1,3,2,14,28094
92,0,0,3,5,0,2,5,4456,1,38,0,1,1,124,25.0,,24,0,0,3,6,31059
93,0,1,2,2,5,2,2,4824,1,45,0,0,0,263,17.0,,16,0,3,4,19,18080
94,0,0,1,5,5,2,4,3520,1,45,0,0,0,239,22.0,,14,0,3,1,29,16060
95,0,1,1,2,2,0,4,4739,1,17,0,0,0,234,17.0,,22,0,2,3,19,27150
96,0,1,3,3,7,0,4,5299,0,35,0,0,0,109,23.0,1997.0,34,0,4,2,11,46100
97,0,0,1,5,0,1,2,5239,1,65,0,0,1,198,25.0,,14,0,1,6,28,19131
98,0,1,2,3,1,0,2,6086,1,38,0,0,0,182,23.0,,6,0,3,5,20,7105
99,0,1,1,3,3,0,3,4477,0,34,0,0,0,173,27.0,2021.0,0,0,5,0,26,14130
100,0,1,1,1,7,0,4,5118,0,39,0,0,1,114,39.0,1997.0,24,1,2,3,1,31133
101,0,1,2,1,1,0,2,5104,1,28,0,0,1,166,29.0,,8,0,3,1,32,10140
102,0,1,1,3,2,0,5,5218,1,24,0,0,1,151,32.0,,18,0,1,4,26,22122
103,0,1,3,3,6,0,4,5117,0,51,0,0,1,96,32.0,2016.0,14,0,3,3,26,18139
104,0,1,3,3,1,1,5,5392,0,58,0,1,1,158,27.0,,23,0,4,5,11,29073
105,0,1,3,1,5,0,4,4221,0,54,1,0,1,141,24.0,2015.0,12,1,1,5,12,17058
106,0,1,2,3,5,0,3,6299,0,21,0,0,1,261,29.0,2014.0,16,0,2,5,26,20057
107,0,0,3,4,5,0,2,6541,0,52,0,0,1,165,20.0,2020.0,10,1,4,3,14,14103
108,0,1,3,3,7,0,4,5879,1,67,0,1,1,204,25.0,2017.0,6,0,4,6,11,8070
109,0,0,2,5,7,1,3,3430,0,34,0,0,0,262,27.0,,11,0,4,4,29,14105
110,0,0,1,4,6,1,2,5285,0,62,1,0,1,141,44.0,,7,0,0,2,25,9114
111,0,1,3,3,5,0,3,5153,0,64,0,0,1,60,29.0,,4,0,2,3,11,5105
112,0,0,3,5,7,3,5,2748,1,56,0,0,0,130,22.0,,12,0,3,3,23,14114
113,0,1,2,3,2,1,3,6590,0,27,0,0,1,254,12.0,,18,0,3,5,26,22062
114,0,1,2,1,7,0,2,3795,1,28,0,0,1,227,31.0,2010.0,18,1,1,5,32,24111
115,0,2,2,5,4,0,2,5278,0,51,0,0,1,247,27.0,2008.0,20,0,0,5,9,28121
116,0,1,3,1,3,0,4,4418,1,64,0,0,1,78,22.0,1997.0,37,0,0,4,1,50124
117,0,1,2,1,5,0,3,4204,1,67,0,0,0,248,18.0,2023.0,0,0,5,0,32,6106
118,0,2,2,5,2,1,2,4292,0,49,0,0,1,252,31.0,,28,0,4,5,2,36111
119,0,0,2,4,2,0,3,6780,0,40,0,0,1,261,23.0,,7,0,3,2,25,8097
120,0,2,3,5,7,3,3,3046,0,69,0,0,1,177,33.0,,14,0,3,4,15,16150
121,0,0,2,5,5,0,2,4119,1,31,0,0,1,105,27.0,2010.0,15,0,2,4,29,19088
122,0,2,3,0,4,0,4,5340,0,49,0,0,0,69,29.0,2000.0,26,1,4,2,3,34129
123,0,0,1,4,4,2,3,6298,0,51,0,0,0,79,33.0,,4,0,2,2,14,5103
124,0,0,2,4,3,1,3,5243,0,40,0,0,0,232,29.0,,22,0,2,6,14,26132
125,0,1,3,3,2,1,2,6320,0,38,0,0,1,66,33.0,,30,0,3,2,11,36131
126,0,1,2,2,8,0,2,4172,0,68,0,0,1,171,27.0,2009.0,18,0,2,6,27,20065
127,0,2,0,0,8,0,8,3948,1,54,1,0,1,161,25.0,2011.0,15,0,2,5,31,19124
128,0,1,2,1,6,0,2,4078,0,49,0,0,1,110,24.0,,21,0,3,4,12,24128
129,0,1,1,1,4,0,2,4430,0,33,0,0,0,92,32.0,2014.0,20,0,4,2,12,27085
130,0,2,1,5,8,1,3,5041,0,31,0,0,1,262,26.0,1998.0,26,0,4,4,13,33074
131,0,1,2,1,7,0,3,3825,0,54,0,0,1,223,40.0,2022.0,5,0,2,1,32,6079
132,0,2,1,0,1,1,2,4554,1,31,0,1,1,144,39.0,,24,0,0,4,3,30106
133,0,1,2,2,8,0,3,4334,0,53,0,0,1,86,31.0,2010.0,15,1,1,4,27,21064
134,0,2,1,0,6,1,4,5013,0,32,1,0,1,225,36.0,,11,1,1,6,21,14062
135,0,1,2,3,8,1,3,4670,0,55,0,1,1,128,31.0,2006.0,24,0,0,4,26,31107
136,0,0,1,4,4,3,2,5862,1,26,0,0,0,196,18.0,,16,0,0,4,5,21093
137,0,0,3,5,7,0,4,4393,0,59,1,0,1,145,32.0,2014.0,9,0,0,4,23,12055
138,0,1,3,2,1,1,4,5150,0,48,0,0,1,99,25.0,,6,0,4,1,19,8146
139,0,2,3,5,7,1,7,6062,0,32,0,0,1,115,39.0,2013.0,18,1,1,1,15,24069
140,0,0,1,5,4,2,5,4396,1,58,0,0,1,187,37.0,2002.0,15,1,1,4,28,19128
141,0,2,1,0,1,0,6,4279,0,55,0,0,1,58,31.0,,4,0,4,2,3,6090
142,0,0,3,5,1,0,2,3775,0,17,1,0,1,114,42.0,,20,0,1,1,23,28133
143,0,2,2,0,3,0,2,4480,0,50,0,0,1,200,24.0,2015.0,17,0,2,5,16,21136
144,0,0,2,4,2,0,3,4937,1,40,0,0,0,260,18.0,,10,0,2,6,14,12118
145,0,1,2,3,1,0,2,4763,0,16,1,0,1,215,27.0,,39,0,3,4,26,48139
146,0,2,1,0,7,3,4,4838,1,26,0,0,0,97,18.0,2006.0,21,1,1,5,3,28151
147,0,1,1,3,3,0,3,5861,0,55,1,0,1,106,35.0,2000.0,24,0,0,4,26,30126
148,0,0,1,4,7,1,3,5420,0,58,0,0,0,134,25.0,2009.0,22,0,3,3,17,27147
149,0,1,2,1,6,0,2,4114,1,53,0,0,0,133,24.0,2011.0,18,1,2,4,32,23135
150,0,1,3,2,0,0,5,4028,0,58,0,0,0,218,45.0,,23,0,2,5,19,26084
151,0,1,2,3,0,0,2,4024,0,66,0,0,0,119,32.0,,24,0,1,2,26,30105
152,0,1,3,2,1,2,3,4790,1,47,0,0,0,206,22.0,,21,0,4,3,27,26123
153,0,1,3,2,6,0,4,4340,1,18,0,0,0,80,19.0,2002.0,26,0,3,4,19,30145
154,0,1,1,2,5,5,2,3826,0,50,0,0,1,239,26.0,,24,0,2,5,27,27112
155,0,2,2,5,1,4,3,4818,0,55,0,0,1,94,31.0,,4,0,4,3,9,6097
156,0,0,1,4,3,0,4,4137,0,50,0,0,1,256,26.0,2007.0,23,0,3,2,17,27058
157,0,2,3,0,1,0,3,4884,1,31,0,1,1,206,32.0,,12,0,3,5,30,15110
158,0,0,1,5,4,0,3,4497,1,52,0,0,1,181,32.0,2012.0,20,0,0,2,28,27119
159,0,2,3,0,1,0,4,4751,1,43,0,0,1,233,28.0,,19,0,3,3,30,23137
160,0,0,1,5,1,0,4,4107,1,68,1,0,1,234,40.0,,26,0,0,5,28,34138
161,0,1,3,3,4,1,4,5443,1,45,0,0,1,234,20.0,,15,0,0,6,11,19103
162,0,0,3,4,5,0,3,4948,0,45,0,0,1,160,23.0,,20,0,3,4,25,23084
163,0,1,2,1,4,0,2,6385,0,46,0,1,0,164,28.0,2018.0,13,1,4,2,22,18151
164,0,0,3,5,4,0,5,4583,1,19,0,0,1,235,30.0,1997.0,25,0,3,4,6,29116
165,0,0,1,5,2,0,2,5017,0,37,0,0,0,248,20.0,,24,0,2,2,6,28064
166,0,1,3,2,5,0,4,4760,0,53,0,0,1,91,29.0,2000.0,32,0,2,6,27,40088
167,0,1,1,1,3,0,4,3972,0,30,0,0,1,152,47.0,2017.0,10,1,1,1,12,15090
168,0,0,1,5,5,1,3,5981,1,18,0,0,1,240,29.0,2009.0,24,1,1,2,23,32055
169,0,1,1,3,3,0,2,3521,1,65,0,0,0,81,25.0,2006.0,33,0,4,2,26,43066
170,0,2,2,5,4,3,3,8736,1,63,0,1,1,187,,2017.0,6,1,2,5,15,7120
171,0,0,2,5,8,0,2,5390,0,70,0,0,0,264,22.0,2016.0,14,1,1,6,29,21059
172,0,1,1,2,8,0,3,4671,1,43,0,0,1,142,35.0,2017.0,6,0,0,2,27,8100
173,0,0,1,5,7,1,3,8137,1,33,0,0,1,101,23.0,2015.0,13,0,3,1,28,16116
174,0,1,3,3,3,1,2,6614,0,60,0,0,1,186,31.0,,15,0,0,6,26,19114
175,0,1,2,2,3,0,2,4547,0,24,0,0,1,246,34.0,,5,0,0,3,19,6134
176,0,1,2,3,3,0,2,7896,1,63,0,0,0,176,15.0,2023.0,0,0,5,0,26,6057
177,0,1,3,2,8,3,4,3583,1,24,0,0,1,227,27.0,,5,0,2,6,19,6106
178,0,0,2,4,8,0,2,4532,0,40,0,0,1,212,27.0,2008.0,24,1,2,5,14,31076
179,0,1,1,1,1,0,2,8236,0,26,0,0,1,267,29.0,,9,0,2,1,1,12129
180,0,0,1,5,0,1,3,3988,1,28,0,0,1,211,30.0,,29,0,1,4,28,38151
181,1,1,2,3,4,3,2,6468,1,24,0,0,0,80,29.0,,12,0,0,4,26,15087
182,0,1,3,3,7,0,4,5620,0,68,0,0,1,221,25.0,2008.0,22,1,1,5,11,32056
183,0,0,1,5,5,0,2,5598,0,27,0,0,1,175,29.0,2005.0,25,1,2,2,28,30056
184,0,2,1,0,0,0,2,6015,1,31,0,0,1,195,30.0,,14,0,1,4,3,18127
185,0,1,3,3,0,0,4,4207,1,61,1,0,1,189,30.0,,15,0,2,6,11,18066
186,0,0,1,5,6,2,3,4752,0,28,0,0,1,170,40.0,,5,1,2,2,28,6111
187,1,1,1,3,0,0,4,4739,1,55,0,0,1,198,38.0,,39,0,0,5,26,52109
188,0,1,3,3,6,2,4,4862,0,21,0,0,0,149,29.0,,0,0,5,0,11,3142
189,0,0,1,5,1,1,4,5211,1,33,0,0,1,190,33.0,,4,0,4,1,28,6059
190,0,0,1,5,4,3,2,5558,1,47,1,0,0,159,40.0,2016.0,5,1,0,3,28,8059
191,0,1,2,2,1,0,2,6927,0,36,1,0,0,106,28.0,,18,0,4,4,27,23122
192,0,1,3,1,3,0,5,4637,1,64,0,0,0,170,18.0,2022.0,0,0,5,0,1,13142
193,0,2,1,0,3,1,4,5059,0,43,1,0,1,206,34.0,1999.0,33,0,3,6,31,39139
194,0,2,2,0,0,0,4,4560,1,29,0,0,0,225,26.0,,13,0,1,1,21,17148
195,0,2,2,0,1,0,2,4847,0,53,0,0,0,230,20.0,,0,0,5,0,21,5058
196,0,1,2,3,2,0,2,6499,0,41,0,0,1,190,35.0,,11,0,0,5,26,14108
197,0,0,1,5,8,1,3,5606,0,68,0,0,1,214,25.0,,12,1,0,4,23,16066
198,0,0,3,5,0,0,5,8052,0,22,0,0,1,101,21.0,,19,0,0,6,23,25126
199,1,1,1,2,6,1,4,4723,1,29,0,0,1,161,31.0,2014.0,10,1,2,4,19,12129
200,0,1,1,2,5,1,3,5428,0,30,0,0,1,70,38.0,,7,0,3,4,27,8144
201,0,1,3,2,5,4,4,6060,1,66,0,0,1,141,39.0,2000.0,25,0,2,6,19,29116
202,0,0,1,4,8,0,3,4796,1,30,0,0,1,86,33.0,2016.0,12,0,0,1,5,16130
203,0,0,1,5,6,1,2,4485,0,23,0,0,1,157,29.0,2020.0,5,0,0,2,29,7113
204,0,0,1,4,2,0,4,4513,0,53,0,0,0,170,27.0,,38,0,1,2,24,51147
205,0,0,1,5,5,0,3,5483,0,24,1,0,1,214,28.0,,17,1,4,4,29,22142
206,0,2,2,5,5,0,2,6765,0,62,0,0,1,157,32.0,2018.0,11,0,0,2,2,15069
207,0,1,3,3,5,0,4,8506,0,62,0,0,0,152,36.0,1997.0,34,0,3,4,11,43072
208,0,1,3,3,1,0,3,5042,1,53,0,0,1,84,24.0,,4,1,3,3,11,5130
209,0,0,1,4,0,0,3,5289,1,65,0,0,1,234,30.0,,24,0,3,4,17,28146
210,0,1,3,3,1,1,6,3291,1,31,0,0,1,146,27.0,,18,0,4,3,11,23089
211,0,0,3,4,8,0,4,3913,1,63,0,0,0,145,18.0,2020.0,4,0,2,3,14,4146
212,0,1,2,1,7,0,4,3846,0,31,0,0,1,96,30.0,2018.0,13,0,3,3,32,17090
213,0,2,3,5,5,4,4,4560,0,56,0,0,1,194,39.0,2022.0,5,1,2,1,9,7071
214,0,0,1,5,3,1,2,4192,1,28,0,0,0,168,28.0,,21,0,4,4,28,27111
215,0,2,3,5,5,3,4,5222,1,30,0,0,1,229,36.0,,4,1,4,3,9,5102
216,0,0,3,4,7,0,2,4975,1,19,0,0,1,101,45.0,2019.0,6,0,0,2,10,7099
217,0,2,3,0,4,0,3,5550,1,69,0,0,1,92,,2012.0,19,0,2,4,30,22128
218,0,0,1,5,3,2,4,5719,1,51,0,0,1,270,40.0,1998.0,23,0,3,3,28,26098
219,0,0,1,4,4,0,2,5467,1,57,0,0,1,270,32.0,2005.0,24,1,0,4,17,31063
220,0,0,3,5,7,0,3,5086,0,32,0,0,1,228,32.0,2005.0,28,0,4,2,6,37072
221,0,0,1,5,5,0,2,5211,0,47,0,0,1,174,26.0,2014.0,13,0,2,4,6,16141
222,0,0,1,4,7,0,4,5794,1,40,0,0,1,139,24.0,2021.0,0,0,5,0,14,5076
223,1,2,1,5,1,0,4,5371,1,66,0,0,0,259,25.0,,23,1,1,4,13,32120
224,1,0,1,5,1,1,4,5806,0,50,0,0,1,88,41.0,,20,0,2,6,28,24098
225,1,1,2,3,3,0,2,3638,0,46,0,0,1,264,26.0,1999.0,25,1,1,6,26,35063
226,1,2,2,5,2,0,2,2884,0,45,0,0,1,158,24.0,,29,0,4,5,9,39095
227,0,2,3,5,5,0,4,5713,0,40,0,0,1,122,22.0,2018.0,6,0,3,1,9,7073
228,0,1,3,3,5,2,3,4516,0,67,0,0,1,202,29.0,,14,0,2,6,11,17060
229,0,0,3,4,2,5,7,4709,0,22,0,0,1,59,27.0,,4,0,4,2,25,5126
230,0,2,1,5,7,5,4,4353,1,65,0,0,0,201,36.0,,17,0,2,5,13,20082
231,1,1,1,2,8,0,3,5744,0,37,0,0,1,62,26.0,2007.0,33,1,1,6,27,47079
232,0,1,3,1,5,0,3,5410,1,18,0,0,1,169,23.0,1998.0,24,1,3,5,12,28112
233,0,1,3,3,0,3,5,5158,0,55,0,0,1,78,30.0,,5,0,1,4,11,6136
234,0,0,3,4,8,2,4,4585,1,54,0,0,1,136,48.0,2005.0,17,1,0,6,25,22093
235,0,1,1,3,4,3,4,5964,0,68,0,0,1,71,29.0,,22,1,4,5,26,28150
236,0,2,1,0,8,0,3,4217,0,26,0,0,1,255,34.0,1997.0,27,0,3,6,16,34147
237,0,1,3,1,4,0,5,4701,1,15,0,0,0,210,26.0,2004.0,23,1,0,3,18,32114
238,0,0,1,4,2,1,3,4011,1,32,0,0,1,71,29.0,,15,0,2,3,25,17065
239,0,1,2,1,0,1,2,5321,0,21,0,0,0,131,23.0,,28,0,1,2,32,37147
240,0,1,3,3,4,0,7,4013,1,32,1,0,1,86,29.0,2019.0,7,0,2,1,26,8091
241,0,0,3,5,5,3,3,3983,1,33,0,0,0,268,23.0,,15,0,0,4,23,18122
242,0,2,2,5,5,0,4,5463,0,30,0,0,1,82,40.0,2002.0,30,0,3,6,2,37074
243,0,1,3,2,7,4,4,4475,0,19,0,0,1,140,22.0,,14,0,4,4,19,18062
244,0,0,1,5,6,0,3,5484,0,33,0,0,1,191,30.0,,4,0,0,3,23,5078
245,0,1,2,3,2,0,2,4176,0,43,0,0,1,190,31.0,,18,0,1,3,26,22071
246,0,1,3,2,8,1,3,4146,1,49,0,0,0,84,19.0,,26,0,4,3,19,33082
247,0,0,3,4,3,0,2,4553,0,30,0,0,1,186,35.0,2013.0,15,1,3,4,14,18147
248,0,0,3,4,8,0,4,4732,1,55,0,0,0,75,38.0,2013.0,20,1,1,5,10,25093
249,0,1,2,3,4,0,3,5516,1,22,0,0,1,123,29.0,2020.0,8,1,0,3,20,11131
250,0,1,2,3,8,0,2,5337,0,42,0,0,0,193,17.0,2021.0,6,0,3,1,26,7068
251,0,1,1,2,2,0,3,7822,0,35,0,0,0,76,50.0,,37,1,1,5,27,49091
252,0,2,1,5,0,2,3,5577,1,69,0,0,1,230,37.0,,28,0,3,4,13,33100
253,0,1,3,1,1,0,4,4166,1,41,0,0,1,199,26.0,,9,0,3,5,18,11068
254,1,1,1,1,2,0,4,3409,0,69,0,0,1,241,24.0,,34,0,2,3,22,43081
255,0,1,1,2,2,1,3,4718,1,57,0,0,0,208,22.0,,24,0,3,5,19,29073
256,0,2,3,5,5,0,3,4686,0,36,0,0,1,60,32.0,2014.0,14,0,3,3,8,17095
257,0,1,3,3,1,0,4,5924,1,54,0,0,1,85,31.0,,34,0,0,4,26,46121
258,0,0,2,4,0,0,2,4463,0,34,0,0,1,260,30.0,,7,0,4,1,25,9096
259,1,0,3,5,5,2,3,3305,1,30,0,0,1,222,26.0,2015.0,12,0,3,4,6,13085
260,0,0,3,4,6,2,2,5499,0,24,0,0,0,61,28.0,,14,0,2,3,10,16066
261,0,0,3,4,7,1,5,5016,0,52,0,0,1,100,36.0,,14,0,0,4,14,18079
262,0,2,2,5,0,2,3,4673,0,26,0,0,0,257,36.0,,24,0,2,3,2,27104
263,0,1,3,3,7,0,2,4952,0,69,0,0,1,90,42.0,2016.0,13,0,0,4,11,18122
264,0,0,1,5,1,0,2,3467,0,27,0,0,1,194,28.0,,0,0,5,0,28,4115
265,0,1,3,2,5,0,3,7850,0,18,0,0,0,119,21.0,2013.0,18,0,2,6,27,20076
266,0,0,1,5,4,0,4,4943,1,30,0,0,1,183,62.0,2021.0,0,0,5,0,23,6123
